election_day,type,region,N,farleft,left,green,center,right,farright,other
2012-06-10,legislative,Corse,130998,10153,24704,590,0,38830,11818,44903
2012-06-10,legislative,Grand Est,2115765,86583,547188,160755,68933,709032,368402,174872
2012-06-10,legislative,Guadeloupe,97261,294,36684,3767,642,11468,1765,42641
2012-06-10,legislative,Guyane,22259,265,8178,1416,385,2957,0,9058
2012-06-10,legislative,Hauts-de-France,2349042,228957,681852,105464,142217,532235,428403,229914
2012-06-10,legislative,Ile-de-France,3890489,332971,1178229,305950,137466,1143480,396094,396299
2012-06-10,legislative,La Réunion,258987,2968,84242,6618,30805,38206,7169,88979
2012-06-10,legislative,Martinique,94094,0,11180,3134,978,9214,919,68669
2012-06-10,legislative,Mayotte,36756,0,6384,451,1032,9680,370,18839
2012-06-10,legislative,Normandie,1372929,100420,443101,75181,109816,362275,183555,98581
2012-06-10,legislative,Nouvelle-Aquitaine,2508606,169008,1031318,132484,132461,567558,270228,205549
2012-06-10,legislative,Occitanie,2435207,200733,860329,145176,62420,529806,390412,246331
2012-06-10,legislative,Pays de la Loire,1539690,66240,517450,118817,62350,393237,142520,239076
2012-06-10,legislative,Provence-Alpes-Côte d'Azur,1971255,142588,412951,154588,43881,627850,423912,165485
2014-05-25,european,Auvergne-Rhône-Alpes,2211437,135917,302017,223476,219570,481775,526663,322019
2014-05-25,european,Bourgogne-Franche-Comté,868611,54422,123195,54508,68437,198479,241684,127886
2014-05-25,european,Bretagne,1055623,53023,169560,108802,122401,194382,180438,227017
2014-05-25,european,Centre-Val de Loire,776648,49306,99548,54237,83319,164197,205935,120106
2014-05-25,european,Corse,79982,4792,7528,3501,2809,21044,18631,21677
2014-05-25,european,Grand Est,1559789,72847,198368,101186,154843,353330,462125,217090
2014-05-25,european,Guadeloupe,26344,0,6244,2093,1529,7420,2280,6778
2014-05-25,european,Guyane,7887,0,588,3225,402,1183,1119,1370
2014-05-25,european,Hauts-de-France,1706183,114135,191090,112656,161015,297494,618398,211395
2014-05-25,european,Ile-de-France,2950984,193249,422542,279808,349529,641523,510805,553528
2014-05-25,european,La Réunion,115122,0,17840,9721,10471,25535,14919,36636
2014-05-25,european,Martinique,31206,0,6446,1656,1292,5162,1464,15186
2014-05-25,european,Mayotte,23266,0,3172,628,956,8052,1257,9201
2014-05-25,european,Normandie,1012958,59396,129160,81939,94093,212445,295824,140101
2014-05-25,european,Nouvelle-Aquitaine,1869743,143144,323670,184107,183117,376689,407780,251236
2014-05-25,european,Occitanie,1879000,167401,291132,222632,141672,334923,500318,220922
2014-05-25,european,Pays de la Loire,1122577,53786,167904,120122,160134,224437,218821,177373
2014-05-25,european,Provence-Alpes-Côte d'Azur,1461937,94010,154293,113343,101583,340465,485510,172733
2015-12-06,regional,Auvergne-Rhône-Alpes,2507815,0,600112,173038,0,795661,639923,299081
2015-12-06,regional,Bourgogne-Franche-Comté,962968,44471,221376,37707,0,231069,303143,125202
2015-12-06,regional,Bretagne,1202276,44938,419846,80516,0,282006,218474,156496
2015-12-06,regional,Centre-Val de Loire,859957,0,209024,56754,0,225777,262156,106246
2015-12-06,regional,Corse,133989,7448,4353,0,0,0,14176,108012
2015-12-06,regional,Grand Est,1777643,57165,286390,119091,0,459212,641234,214551
2015-12-06,regional,Guadeloupe,140454,0,57717,0,0,0,1973,80764
2015-12-06,regional,Guyane,36130,0,0,0,0,0,0,36130
2015-12-06,regional,Hauts-de-France,2236782,0,405199,107993,0,558420,909025,256145
2015-12-06,regional,Ile-de-France,3153293,208943,794322,253153,0,962119,580499,354257
2015-12-06,regional,La Réunion,265794,0,63248,0,0,107281,6355,88910
2015-12-06,regional,Martinique,120629,0,0,0,0,1818,0,118811
2015-12-06,regional,Normandie,1144411,80590,269127,70231,0,319357,317118,87988
2015-12-06,regional,Nouvelle-Aquitaine,2068761,100380,628667,115782,0,562500,480621,180811
2015-12-06,regional,Occitanie,2053576,0,501322,210602,0,386987,653573,301092
2015-12-06,regional,Pays de la Loire,1268942,0,326764,99253,0,424951,270888,147086
2015-12-06,regional,Provence-Alpes-Côte d'Azur,1774850,0,294398,116125,0,469884,719746,174697
2017-04-23,president,Auvergne-Rhône-Alpes,4187716,805588,256532,0,1025872,845905,867591,386228
2017-04-23,president,Bourgogne-Franche-Comté,1544906,276958,87386,0,338191,304391,387662,150318
2017-04-23,president,Bretagne,2000330,385736,180827,0,581076,380815,306644,165232
2017-04-23,president,Centre-Val de Loire,1427614,252308,83552,0,323725,300325,329470,138234
2017-04-23,president,Corse,154376,21314,5780,0,28528,39453,43041,16260
2017-04-23,president,Grand Est,2971625,484810,151296,0,615776,586390,825604,307749
2017-04-23,president,Guadeloupe,112242,27081,11165,0,33930,16305,15159,8602
2017-04-23,president,Guyane,26839,6633,1529,0,5031,3935,6521,3190
2017-04-23,president,Hauts-de-France,3232524,633313,166630,0,630285,521373,1003216,277707
2017-04-23,president,Ile-de-France,5631456,1224978,430324,0,1612516,1249586,708026,406026
2017-04-23,president,La Réunion,350480,85987,26872,0,66292,60508,82219,28602
2017-04-23,president,Martinique,109264,29903,10661,0,27893,18400,11949,10458
2017-04-23,president,Mayotte,33130,2789,1434,0,6364,10808,9008,2727
2017-04-23,president,Normandie,1891428,362426,113705,0,422960,370105,452586,169646
2017-04-23,president,Nouvelle-Aquitaine,3389374,703439,240157,0,851304,602830,640148,351496
2017-04-23,president,Occitanie,3315700,734193,216349,0,740031,566036,762087,297004
2017-04-23,president,Pays de la Loire,2191921,403455,143491,0,575832,516428,364267,188448
2017-04-23,president,Provence-Alpes-Côte d'Azur,2750937,515415,113365,0,520978,615524,774781,210874
2017-06-11,legislative,Auvergne-Rhône-Alpes,2638721,285168,158827,133744,918004,557617,320523,264838
